statistic,reference,generated,ratio
items_per_order,1.133,1.1326314095795498,0.9996746774753308
late_share_delivered,0.079,0.07900871940761434,1.0001103722482827
mean_delivery_days,12.1,11.92604270290101,0.9856233638761165
mean_freight,19.99,20.574358874189826,1.029232559989486
mean_payment_value,154.1,153.3255935256915,0.9949746497449156
mean_price,120.65,122.99464645298765,1.0194334558888325
mean_promise_days,23.5,21.354383838798796,0.908697184629736
mean_review_score,4.09,4.164795776889975,1.018287476012219
median_price,74.99,74.02,0.9870649419922657
n_customers_unique,96096.0,96096.0,1.0
n_order_items,112650.0,112630.0,0.9998224589436308
n_orders,99441.0,99441.0,1.0
n_products,32951.0,32951.0,1.0
n_sellers,3095.0,3095.0,1.0
span_days,,729.9059574579425,
