expedite_multiplier,mean_expedite_cost,policy,treated_share,spend_per_1k,n_nudge,n_expedite,n_both,delta_per_1k,roi
0.25,3.918788579211683,margin_cause_aware,0.11818592613893111,206.16948422030973,2270,452,155,334.1998272972722,2.620995602531319
0.25,3.918788579211683,margin_risk_only,0.10434211066836462,175.93381880828164,2204,0,336,267.89145268828315,2.5226831004004366
0.4,6.270061726738693,margin_cause_aware,0.11161319475824673,176.56610479398591,2502,131,84,262.11417166424013,2.4845101327351014
0.4,6.270061726738693,margin_risk_only,0.10434211066836462,150.26992293472458,2436,0,104,216.0698597611201,2.4378782895561746
0.55,8.621334874265703,margin_cause_aware,0.1100110914842049,158.14425397958345,2590,40,48,245.04455452125148,2.5495002085430607
0.55,8.621334874265703,margin_risk_only,0.10434211066836462,142.21286125888344,2491,0,49,191.71806190450533,2.348106354146849
0.7,10.972608021792714,margin_cause_aware,0.10951813663065357,152.69964354229143,2613,16,37,228.2684925740599,2.4948855627867847
0.7,10.972608021792714,margin_risk_only,0.10434211066836462,139.3198063303619,2509,0,31,191.57997941653136,2.375109429611518
1.0,15.675154316846733,margin_cause_aware,0.10931273877500719,146.58106467978473,2636,2,23,217.4914589116668,2.48376230850001
1.0,15.675154316846733,margin_risk_only,0.10434211066836462,134.1952846814279,2526,0,14,196.70450106546534,2.465807845129809
1.4,21.94521604358543,margin_cause_aware,0.10927165920387791,142.23924861356446,2647,0,13,213.57323576366002,2.501507058321825
1.4,21.94521604358543,margin_risk_only,0.10434211066836462,130.45339233044407,2534,0,6,189.50679517754327,2.452678169514474
