scenario,bucket,n,base_rate,roc_auc,pr_auc,capture_top1,capture_top2,capture_top3,lift_top1,recall_at_05,recall_at_10
honest (point-in-time),new seller (<5 prior),2240.0,0.096875,0.6647311676093587,0.16281097265109912,0.2073732718894009,0.3410138248847926,0.48847926267281105,2.0737327188940093,0.10599078341013825,0.2073732718894009
honest (point-in-time),5-49 prior,14266.0,0.09841581382307585,0.6640053342937808,0.17163444576411555,0.20014245014245013,0.3782051282051282,0.48646723646723644,2.0022666155204725,0.10398860398860399,0.20014245014245013
honest (point-in-time),50+ prior,7837.0,0.09850708179150185,0.6871261124495343,0.1900482792607827,0.23316062176165803,0.4106217616580311,0.5401554404145078,2.333690667619558,0.13860103626943004,0.23316062176165803
"whole-table, as reported offline",new seller (<5 prior),411.0,0.09732360097323602,1.0,1.0,1.0,1.0,1.0,10.024390243902438,0.525,1.0
"whole-table, as reported offline",5-49 prior,14577.0,0.09995197914522878,0.9999209032927666,0.998584938639961,0.9979409746053535,1.0,1.0,9.9842042462747,0.49965682910089226,0.9979409746053535
"whole-table, as reported offline",50+ prior,9355.0,0.09577765900587921,0.999938648396467,0.9988468945852083,1.0,1.0,1.0,10.005347593582886,0.5223214285714286,1.0
"whole-table, as served",new seller (<5 prior),2240.0,0.096875,0.518933189974282,0.10208787078791363,0.11981566820276497,0.2304147465437788,0.3317972350230415,1.1981566820276497,0.04608294930875576,0.11981566820276497
"whole-table, as served",5-49 prior,14266.0,0.09841581382307585,0.5018542219599598,0.1023306102834135,0.1047008547008547,0.19729344729344728,0.30056980056980054,1.0474490835640906,0.06196581196581197,0.10541310541310542
"whole-table, as served",50+ prior,7837.0,0.09850708179150185,0.5266568026724456,0.11047849560831752,0.13730569948186527,0.23186528497409326,0.3471502590673575,1.374284504264851,0.07772020725388601,0.13730569948186527
"leave-one-out, as reported offline",new seller (<5 prior),754.0,0.10079575596816977,1.0,1.0,0.9868421052631579,1.0,1.0,9.921052631578947,0.5,0.9868421052631579
"leave-one-out, as reported offline",5-49 prior,14411.0,0.10006245229338699,1.0,1.0,0.9993065187239945,1.0,1.0,9.99375866851595,0.5,0.9993065187239945
"leave-one-out, as reported offline",50+ prior,9178.0,0.09533667465678797,1.0,1.0,1.0,1.0,1.0,10.008724100327154,0.5245714285714286,1.0
"leave-one-out, as served",new seller (<5 prior),2240.0,0.096875,0.4938210578348986,0.09986171663213315,0.11981566820276497,0.17972350230414746,0.2626728110599078,1.1981566820276497,0.07834101382488479,0.11981566820276497
"leave-one-out, as served",5-49 prior,14266.0,0.09841581382307585,0.505750391732354,0.11061881998509805,0.10968660968660969,0.20441595441595442,0.26139601139601143,1.0973276113528567,0.06837606837606838,0.10968660968660969
"leave-one-out, as served",50+ prior,7837.0,0.09850708179150185,0.5092340186792516,0.1047025359358666,0.11528497409326424,0.20595854922279794,0.2694300518134715,1.153880385656337,0.06347150259067358,0.11528497409326424
