model,scores,policy,treated_share,spend_per_1k,late_rate,late_rate_change_pct,contribution_per_1k,delta_per_1k,delta_lo,delta_hi,roi,n_none,n_nudge,n_expedite,n_both
logistic,calibrated,oracle,0.05332128332580208,405.5413946514398,0.044982130386558766,-54.241537818637696,40366.79763935331,1176.6896810951218,1093.4534016287325,1277.5502438196588,3.9015279244341476,23045,694,504,100
logistic,calibrated,margin_cause_aware,0.17319147188103357,238.03718173602266,0.08934806720617837,-9.109903886335147,39403.12955035137,213.02159209317793,148.37453654338276,297.98885770714776,1.894908898431731,20127,4163,15,38
logistic,calibrated,margin_budget_50pct,0.0891015897794027,118.9224671363431,0.09325062646345972,-5.1399916422900205,39388.7766138661,198.66865560791382,142.42324852033542,268.21144158931844,2.6705729404364154,22174,2149,2,18
logistic,calibrated,margin_risk_only,0.16522203508195374,211.84515795095098,0.09078585219570308,-7.6473046385290395,39385.3400191841,195.23206092591195,139.752724207603,272.8439153623756,1.9215790571484965,20321,4001,0,21
logistic,calibrated,margin_global_threshold,0.14205315696504128,200.67120383683195,0.09029289734215175,-8.148767237776845,39369.296455172946,179.18849691475384,123.69322350558632,257.91540631591585,1.892945741534765,20885,3405,15,38
logistic,calibrated,top_20pct_nudge,0.20001643182845172,240.019718194142,0.08885511235262704,-9.61136648558295,39214.08137954979,23.97342129160185,-19.078194020231848,80.86696219203702,1.0998810492403412,19474,4869,0,0
logistic,calibrated,top_10pct_nudge,0.09998767612866122,119.98521135439346,0.0929219898944255,-5.474300041788549,39212.18564930723,22.07769104904737,-5.012380551829775,55.683205766063665,1.1840034350886608,21909,2434,0,0
logistic,calibrated,do_nothing,0.0,0.0,0.09830341371236084,0.0,39190.10795825819,0.0,0.0,0.0,,24343,0,0,0
logistic,calibrated,f1_threshold_nudge,0.40381218420079695,484.57462104095634,0.08125539169371072,-17.342248223986623,39152.0053840725,-38.10257418568958,-85.28479720739114,24.95411156333746,0.9213690265003188,14513,9830,0,0
logistic,calibrated,youden_threshold_nudge,0.5792219529228115,695.0663435073737,0.0763669227293267,-22.31508566652738,39066.33330419427,-123.77465406391602,-175.24985965636816,-43.46389589106716,0.821923971402015,10243,14100,0,0
logistic,calibrated,nudge_everything,1.0,1199.9999999999998,0.06979419134864231,-29.00125365649813,38733.1239402731,-456.9840179850837,-520.6513332803254,-371.6528444762651,0.6191799850124305,0,24343,0,0
logistic,calibrated,top_10pct_both,0.09998767612866122,1711.0246813252268,0.08224130140081337,-16.339323025491016,37923.10136795066,-1267.006590307532,-1343.377705829893,-1196.1702120239026,0.25950419994748003,21909,0,0,2434
logistic,calibrated,top_20pct_both,0.20001643182845172,3361.8979663558316,0.06975311177751305,-29.04304220643543,36599.70013064066,-2590.4078276175196,-2689.46764692479,-2504.6582723982556,0.2294805334543146,19474,0,0,4869
logistic,calibrated,f1_threshold_both,0.40381218420079695,6713.489563426859,0.05089758862917471,-48.22398662766402,33698.8675968448,-5491.240361413392,-5612.291816806239,-5370.520347415218,0.18205870292432202,14513,0,0,9830
gbdt,calibrated,oracle,0.05332128332580208,405.5413946514398,0.044982130386558766,-54.241537818637696,40366.79763935331,1176.6896810951218,1093.4534016287325,1277.5502438196588,3.9015279244341476,23045,694,504,100
gbdt,calibrated,margin_cause_aware,0.10931273877500719,146.58106467978473,0.09181284147393501,-6.602590890096116,39407.59941716985,217.4914589116668,161.84051952439532,284.9883068745854,2.48376230850001,21682,2636,2,23
gbdt,calibrated,margin_risk_only,0.10434211066836462,134.1952846814279,0.09283983075216695,-5.557877141663181,39386.81245932364,196.70450106546534,139.77565250501445,274.3342691826055,2.465807845129809,21803,2526,0,14
gbdt,calibrated,margin_budget_50pct,0.054841227457585344,73.06497607114983,0.09452409316846733,-3.844546594233178,39372.618837439506,182.51087918131773,124.32407818218735,249.96406431526742,3.497925668292706,23008,1323,1,11
gbdt,calibrated,margin_global_threshold,0.0971121061496118,131.3070630160621,0.09242903504087417,-5.9757626410363525,39352.60207559401,162.49411733582318,119.01656807793513,212.22602283797485,2.2375123896872626,21979,2340,2,22
gbdt,calibrated,top_10pct_nudge,0.09998767612866122,119.98521135439346,0.09259335332539129,-5.808608441287088,39236.39148895918,46.28353070099411,13.234515827702447,83.45309343733179,1.385743627723329,21909,2434,0,0
gbdt,calibrated,f1_threshold_nudge,0.21176518917142506,254.11822700571005,0.08774596393213654,-10.739657333890518,39230.5556526095,40.44769435132034,-3.097313206095724,92.43907142178813,1.1591688043314243,19188,5155,0,0
gbdt,calibrated,top_20pct_nudge,0.20001643182845172,240.019718194142,0.08823891878568788,-10.238194734642715,39228.97650971962,38.86855146143657,-1.3215585731586648,88.8811417628997,1.161938992987224,19474,4869,0,0
gbdt,calibrated,do_nothing,0.0,0.0,0.09830341371236084,0.0,39190.10795825819,0.0,0.0,0.0,,24343,0,0,0
gbdt,calibrated,youden_threshold_nudge,0.4262416300373824,511.4899560448589,0.08170726697613277,-16.882574174676137,39117.260753126524,-72.84720513166664,-122.40650991630346,-7.402377517397157,0.8575784250096248,13967,10376,0,0
gbdt,calibrated,nudge_everything,1.0,1199.9999999999998,0.06979419134864231,-29.00125365649813,38733.1239402731,-456.9840179850837,-520.6513332803254,-371.6528444762651,0.6191799850124305,0,24343,0,0
gbdt,calibrated,top_10pct_both,0.09998767612866122,1706.1758334017993,0.08322721110791603,-15.336397826995407,37926.97817061932,-1263.1297876388692,-1347.1468285431588,-1184.060912632096,0.2596719734797662,21909,0,0,2434
gbdt,calibrated,top_20pct_both,0.20001643182845172,3367.8774119870186,0.06901367949718605,-29.795236105307144,36622.226832011096,-2567.8811262470913,-2669.69828912005,-2474.7555024624944,0.23753723425103437,19474,0,0,4869
gbdt,calibrated,f1_threshold_both,0.21176518917142506,3559.1399779197304,0.067822371934437,-31.007104053489343,36462.464725395446,-2727.6432328627347,-2828.7462161629496,-2625.0153421989603,0.23362293987183783,19188,0,0,5155
gbdt,raw,oracle,0.05332128332580208,405.5413946514398,0.044982130386558766,-54.241537818637696,40366.79763935331,1176.6896810951218,1093.4534016287325,1277.5502438196588,3.9015279244341476,23045,694,504,100
gbdt,raw,margin_cause_aware,0.07920141313724685,108.58638376535349,0.09283983075216695,-5.557877141663181,39393.13616047941,203.02820222122165,146.64850391816432,272.5369619744994,2.8697390518128794,22415,1905,3,20
gbdt,raw,margin_risk_only,0.08035164112886661,103.29863687713099,0.09378466088814033,-4.596740493104889,39343.092415740255,152.98445748207405,101.03001355071054,217.10726618121603,2.4809920257131934,22387,1945,0,11
