bin,n,predicted,observed,p_lo,p_hi,gap
0,1218,0.023708161055969127,0.022988505747126436,1e-06,0.027124773960216998,-0.0007196553088426906
1,1217,0.027924875013668218,0.03944124897288414,0.027124773960216998,0.036862003780718335,0.011516373959215922
2,1217,0.036862003780718335,0.043549712407559574,0.036862003780718335,0.036862003780718335,0.006687708626841239
3,1217,0.036862003780718335,0.05341002465078061,0.036862003780718335,0.036862003780718335,0.016548020870062276
4,1217,0.03885317788491831,0.04847986852917009,0.036862003780718335,0.042481833426495245,0.009626690644251784
5,1217,0.042481833426495245,0.04847986852917009,0.042481833426495245,0.042481833426495245,0.005998035102674847
6,1217,0.04257331936828355,0.06984387838948233,0.042481833426495245,0.05639913232104121,0.027270559021198786
7,1217,0.05639913232104121,0.06737880032867707,0.05639913232104121,0.05639913232104121,0.010979668007635862
8,1217,0.05639913232104121,0.08216926869350863,0.05639913232104121,0.05639913232104121,0.025770136372467417
9,1218,0.06055073900092079,0.07142857142857142,0.05639913232104121,0.06182472989195679,0.010877832427650634
10,1217,0.06182472989195679,0.10271158586688578,0.06182472989195679,0.06182472989195679,0.04088685597492899
11,1217,0.06963996176905962,0.08216926869350863,0.06182472989195679,0.07666666666666666,0.012529306924449007
12,1217,0.079539501610284,0.08463434675431389,0.07666666666666666,0.08056872037914692,0.005094845144029886
13,1217,0.08056872037914692,0.09285127362366474,0.08056872037914692,0.08056872037914692,0.012282553244517824
14,1217,0.08056872037914692,0.16516023007395234,0.08056872037914692,0.08056872037914692,0.08459150969480542
15,1217,0.0888429812627674,0.1257189811010682,0.08056872037914692,0.10267857142857142,0.03687599983830078
16,1217,0.10810122259459642,0.14543960558751026,0.10267857142857142,0.11563517915309446,0.03733838299291384
17,1217,0.11563517915309444,0.1914543960558751,0.11563517915309446,0.11563517915309446,0.07581921690278066
18,1217,0.13952575584407562,0.161873459326212,0.11563517915309446,0.16176470588235295,0.022347703482136383
19,1218,0.19282829299444068,0.26683087027914615,0.16176470588235295,0.8871453638529948,0.07400257728470547
