bin,n,predicted,observed,p_lo,p_hi,gap
0,1218,0.010125143861545453,0.026272577996715927,0.003848959550027143,0.012703094330613092,0.016147434135170474
1,1217,0.014335531681469473,0.03779786359901397,0.012705145451641765,0.015940383883451467,0.023462331917544498
2,1217,0.017520249200370274,0.04272801972062449,0.015943735426819615,0.01907120605570932,0.025207770520254216
3,1217,0.020556798793726197,0.04683648315529992,0.019071399543881186,0.022006892290822384,0.02627968436157372
4,1217,0.02351786840787307,0.04847986852917009,0.022018359572115953,0.02510036424701106,0.024962000121297023
5,1217,0.02653257474827012,0.05341002465078061,0.025100813854920405,0.02805060962203174,0.02687744990251049
6,1217,0.029590126967996722,0.06984387838948233,0.028053218507128667,0.031202209754635734,0.040253751421485615
7,1217,0.03283280761840789,0.06984387838948233,0.031202505490936772,0.03449581233586974,0.03701107077107444
8,1217,0.03634799493202674,0.0838126540673788,0.03449613111893371,0.0382848274898335,0.047464659135352055
9,1218,0.04023016920981218,0.07799671592775041,0.03829191611540632,0.042308295754483936,0.037766546717938235
10,1217,0.04439807989325937,0.0838126540673788,0.042311197612473685,0.046600257286236534,0.03941457417411943
11,1217,0.048989175155474636,0.09120788824979457,0.04660194334947383,0.05155517525720399,0.04221871309431994
12,1217,0.05426928316648188,0.11668036154478226,0.051559092024483284,0.05710676841505796,0.06241107837830038
13,1217,0.0602146779474124,0.10353327855382087,0.0571132985314369,0.06360238058809994,0.04331860060640847
14,1217,0.06755486241901176,0.11503697617091208,0.06360288609706395,0.07170415048629504,0.04748211375190031
15,1217,0.07638058443705914,0.13557929334428923,0.0717048229221263,0.08133773076027921,0.059198708907230085
16,1217,0.08750630537069774,0.1437962202136401,0.08133923169779794,0.09441352353431533,0.056289914842942365
17,1217,0.10308218476856058,0.17091207888249796,0.09442730574175853,0.11272912812490485,0.06782989411393738
18,1217,0.12768464824523615,0.20542317173377156,0.11273002996700655,0.14610940448719142,0.07773852348853541
19,1218,0.21009114807484153,0.24302134646962234,0.14618966809843523,0.8015965010862334,0.03293019839478081
