policy,believed_rho_scale,rho_nudge,rho_expedite,treated_share,spend_per_1k,delta_per_1k,roi
margin_cause_aware,0.4,0.18400000000000002,0.284,0.022306207123197634,29.655288789385036,104.25857525409275,4.51568234572079
margin_risk_only,0.4,0.18400000000000002,0.284,0.02205972969642197,28.13279854578318,86.6186899803865,4.0789219152663945
margin_cause_aware,0.6,0.276,0.426,0.046871790658505524,63.726338577825246,165.4743392024924,3.596639676707741
margin_risk_only,0.6,0.276,0.426,0.04395514110832683,56.49106899313971,134.77083360868042,3.3857015986907024
margin_cause_aware,0.8,0.36800000000000005,0.568,0.07550425173561189,99.7070611674814,194.0616672378962,2.9463181941740704
margin_risk_only,0.8,0.36800000000000005,0.568,0.07373783017705295,93.93658279587561,164.2881368998678,2.748926052131
margin_cause_aware,1.0,0.46,0.71,0.10931273877500719,146.58106467978473,217.4914589116668,2.48376230850001
margin_risk_only,1.0,0.46,0.71,0.10434211066836462,134.1952846814279,196.70450106546534,2.465807845129809
margin_cause_aware,1.25,0.5750000000000001,0.8875,0.15195333360719715,204.56961292774102,229.93877621454197,2.1240123737036245
margin_risk_only,1.25,0.5750000000000001,0.8875,0.14895452491475988,191.76278889208393,207.8847607568651,2.0840724728604867
margin_cause_aware,1.5,0.6900000000000001,1.065,0.19611387257117036,264.9174357104711,210.0940175622506,1.7930547002269142
margin_risk_only,1.5,0.6900000000000001,1.065,0.19249887031179394,244.01600336852485,208.5457790399742,1.8546397619873238
margin_cause_aware,2.0,0.92,1.42,0.2809431869531282,384.60575822618415,175.94688786941254,1.457473358383624
margin_risk_only,2.0,0.92,1.42,0.27757466212052745,348.05451669884565,175.85316579820852,1.5052460386553914
